Position,Track Name,Artist,Streams,date,region,spotify_id
8,Safari,J Balvin,1782,2017-03-03,ni,6rQSrBHf7HlZjtcMZ4S4bO
9,Chantaje (feat. Maluma),Shakira,1751,2017-03-03,ni,6mICuAdrwEjh6Y6lroV2Kg
10,It Ain't Me (with Selena Gomez),Kygo,1640,2017-03-03,ni,3eR23VReFzcdmS7TYCrhCe
11,Let Me Love You,DJ Snake,1556,2017-03-03,ni,4pdPtRcBmOSQDlJ3Fk945m
12,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,1537,2017-03-03,ni,3NdDpSvN911VPGivFlV5d0
13,Paris,The Chainsmokers,1513,2017-03-03,ni,72jbDTw1piOOj770jWNeaG
14,Closer (feat. Halsey),The Chainsmokers,1381,2017-03-03,ni,7BKLCZ1jbUBVqRi2FVlTVw
15,SUBEME LA RADIO,Enrique Iglesias,1324,2017-03-03,ni,7nKBxz47S9SD79N086fuhn
16,"Ay Mi Dios (feat. Pitbull, Yandel & Chacal)",IAmChino,1259,2017-03-03,ni,6stYbAJgTszHAHZMPxWWCY
17,Vente Pa' Ca,Ricky Martin,1227,2017-03-03,ni,7DM4BPaS7uofFul3ywMe46
18,Vacaciones,Wisin,1223,2017-03-03,ni,3dQDid3IUNhZy1OehIfYfE
19,Castle on the Hill,Ed Sheeran,1169,2017-03-03,ni,6PCUP3dWmTjcTtXY02oFdT
20,I Feel It Coming,The Weeknd,1162,2017-03-03,ni,5GXAXm5YOmYT0kL5jHvYBt
21,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,1146,2017-03-03,ni,5knuzwU65gJK7IF5yJsuaW
22,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]",Anuel AA,1143,2017-03-03,ni,5q2JbCNi4FcnglgPfxcV65
23,Scared to Be Lonely,Martin Garrix,1116,2017-03-03,ni,3ebXMykcMXOcLeJ9xZ17XH
24,Starboy,The Weeknd,1096,2017-03-03,ni,5aAx2yezTd8zXrkmtKl66Z
25,Chained To The Rhythm,Katy Perry,1075,2017-03-03,ni,6520aj0B4FSKGVuKNsOCOi
26,Don't Wanna Know,Maroon 5,1050,2017-03-03,ni,5MFzQMkrl1FOOng9tq6R9r
27,One Dance,Drake,1044,2017-03-03,ni,1xznGGDReH1oQq0xzbwXa3
28,Dile Que Tu Me Quieres,Ozuna,1044,2017-03-03,ni,20ZAJdsKB5IGbGj4ilRt2o
29,Sigo Extrañándote,J Balvin,1001,2017-03-03,ni,6qDF4wWL49CAVbgT7yuHl8
Position,Track Name,Artist,Streams,date,region,spotify_id
1,Despacito (Featuring Daddy Yankee),Luis Fonsi,4958,2017-03-10,ni,4aWmUDTfIPGksMNLV2rQP2
2,Shape of You,Ed Sheeran,4028,2017-03-10,ni,7qiZfU4dY1lWllzX7mPBI3
3,El Amante,Nicky Jam,2206,2017-03-10,ni,3umS4y3uQDkqekNjVpiRUs
4,Me Rehúso,Danny Ocean,2171,2017-03-10,ni,6De0lHrwBfPfrhorm9q1Xl
5,Reggaetón Lento (Bailemos),CNCO,2087,2017-03-10,ni,3AEZUABDXNtecAOSC1qTfo
6,Otra vez (feat. J Balvin),Zion & Lennox,1948,2017-03-10,ni,3QwBODjSEzelZyVjxPOHdq
7,Chantaje (feat. Maluma),Shakira,1776,2017-03-10,ni,6mICuAdrwEjh6Y6lroV2Kg
8,It Ain't Me (with Selena Gomez),Kygo,1691,2017-03-10,ni,3eR23VReFzcdmS7TYCrhCe
9,Safari,J Balvin,1619,2017-03-10,ni,6rQSrBHf7HlZjtcMZ4S4bO
10,SUBEME LA RADIO,Enrique Iglesias,1560,2017-03-10,ni,7nKBxz47S9SD79N086fuhn
11,Something Just Like This,The Chainsmokers,1543,2017-03-10,ni,6RUKPb4LETWmmr3iAEQktW
12,Let Me Love You,DJ Snake,1499,2017-03-10,ni,4pdPtRcBmOSQDlJ3Fk945m
13,Paris,The Chainsmokers,1457,2017-03-10,ni,72jbDTw1piOOj770jWNeaG
14,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,1395,2017-03-10,ni,3NdDpSvN911VPGivFlV5d0
15,Closer (feat. Halsey),The Chainsmokers,1382,2017-03-10,ni,7BKLCZ1jbUBVqRi2FVlTVw
16,Sigo Extrañándote,J Balvin,1289,2017-03-10,ni,6qDF4wWL49CAVbgT7yuHl8
17,Vacaciones,Wisin,1283,2017-03-10,ni,3dQDid3IUNhZy1OehIfYfE
18,Vente Pa' Ca,Ricky Martin,1255,2017-03-10,ni,7DM4BPaS7uofFul3ywMe46
19,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]",Anuel AA,1236,2017-03-10,ni,5q2JbCNi4FcnglgPfxcV65
20,Perfect,Ed Sheeran,1232,2017-03-10,ni,0tgVpDi06FyKpA1z0VMD4v
21,"Ay Mi Dios (feat. Pitbull, Yandel & Chacal)",IAmChino,1225,2017-03-10,ni,6stYbAJgTszHAHZMPxWWCY
22,I Feel It Coming,The Weeknd,1097,2017-03-10,ni,5GXAXm5YOmYT0kL5jHvYBt
