Position,Track Name,Artist,Streams,date,region,spotify_id
16,You Don't Know Me - Radio Edit,Jax Jones,1159,2017-03-24,lu,00lNx0OcTJrS3MKHcB80HY
17,That's What I Like,Bruno Mars,1132,2017-03-24,lu,0KKkJNfGyhkQ5aFogxQAPU
18,Slide (feat. Frank Ocean & Migos),Calvin Harris,1127,2017-03-24,lu,7tr2za8SQg2CI8EDgrdtNl
19,Solo Dance,Martin Jensen,1109,2017-03-24,lu,6HUnnBwYZqcED1eQztxMBN
20,Cold,Maroon 5,1081,2017-03-24,lu,5NNlUMcOEOdoOIwwaWXv0k
21,Run Up (feat. PARTYNEXTDOOR & Nicki Minaj),Major Lazer,1023,2017-03-24,lu,0fg8CqpjdojMyXLNzM2PaJ
22,Believer,Imagine Dragons,1019,2017-03-24,lu,0CcQNd8CINkwQfe1RDtGV6
23,Chained To The Rhythm,Katy Perry,1007,2017-03-24,lu,6520aj0B4FSKGVuKNsOCOi
Position,Track Name,Artist,Streams,date,region,spotify_id
1,Shape of You,Ed Sheeran,3545,2017-03-31,lu,7qiZfU4dY1lWllzX7mPBI3
2,It Ain't Me (with Selena Gomez),Kygo,2120,2017-03-31,lu,3eR23VReFzcdmS7TYCrhCe
3,Despacito (Featuring Daddy Yankee),Luis Fonsi,2033,2017-03-31,lu,4aWmUDTfIPGksMNLV2rQP2
4,Something Just Like This,The Chainsmokers,1927,2017-03-31,lu,6RUKPb4LETWmmr3iAEQktW
5,Mask Off,Future,1872,2017-03-31,lu,3rOSwuTsUlJp0Pu0MkN8r8
6,Passionfruit,Drake,1848,2017-03-31,lu,7hDc8b7IXETo14hHIHdnhd
7,Galway Girl,Ed Sheeran,1782,2017-03-31,lu,0afhq8XCExXpqazXczTSve
8,Stay (with Alessia Cara),Zedd,1644,2017-03-31,lu,0dA2Mk56wEzDgegdC6R17g
9,Paris,The Chainsmokers,1564,2017-03-31,lu,72jbDTw1piOOj770jWNeaG
10,You Don't Know Me - Radio Edit,Jax Jones,1507,2017-03-31,lu,00lNx0OcTJrS3MKHcB80HY
11,Scared to Be Lonely,Martin Garrix,1441,2017-03-31,lu,3ebXMykcMXOcLeJ9xZ17XH
12,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,1388,2017-03-31,lu,3NdDpSvN911VPGivFlV5d0
13,Symphony (feat. Zara Larsson),Clean Bandit,1370,2017-03-31,lu,1x5sYLZiu9r5E43kMlt9f8
14,Swalla (feat. Nicki Minaj & Ty Dolla $ign),Jason Derulo,1365,2017-03-31,lu,6kex4EBAj0WHXDKZMEJaaF
15,Issues,Julia Michaels,1351,2017-03-31,lu,1sXUWdKx03aP9Gmzft58rt
16,Call On Me - Ryan Riback Extended Remix,Starley,1344,2017-03-31,lu,78rIJddV4X0HkNAInEcYde
17,Slide (feat. Frank Ocean & Migos),Calvin Harris,1334,2017-03-31,lu,7tr2za8SQg2CI8EDgrdtNl
18,That's What I Like,Bruno Mars,1331,2017-03-31,lu,0KKkJNfGyhkQ5aFogxQAPU
19,Solo Dance,Martin Jensen,1234,2017-03-31,lu,6HUnnBwYZqcED1eQztxMBN
